"id","username","time","distance","rageQuit"
"115","6760a","103.2973","95.12434","False"
"117","8457b","1330.553","938.238","True"
"118","7630a","184.3605","154.0951","False"
"119","3257b","481.9065","398.1031","True"
"120","1590a","195,9795","163,5828","False"
"121","6140a","281.2957","261.8666","False"
"122","9114a","306,6622","232,8506","False"
"123","7847b","383.9731","261.222","True"
"124","9131b","734,3496","587,1715","False"
"126","5829b","407,109","349,212","True"
"127","8335b","403.2474","274.2318","True"
"128","7022a","262,6435","248,7945","False"
"129","7216a","153.2506","101.8985","False"
"130","4104a","388.7361","375.3663","False"
"131","8998a","433,6196","390,738","False"
"133","6133b","238,3817","172,2755","True"
"134","5410a","403,163","324,7721","False"
"135","6700a","206.997","190.0363","False"
"136","9636a","153,7467","106,0575","False"
"137","6505b","1067.412","922.5842","False"
"138","3182a","480.0973","423.388","True"
"139","5533b","1320,77","1186,314","True"
"140","5106a","285,6381","248,5593","False"
"141","7761b","583.7999","549.65","True"
"142","7620a","252,9768","207,8218","False"
"144","7993b","639.8369","503.3538","True"
"145","4306a","759.4617","667.2928","True"
"146","4011b","1814.815","922.9728","False"
"147","9864a","274.1419","246.7755","False"
"148","3816a","103,1398","88,75957","False"
"149","4777b","469,7608","439,6487","True"
"150","2044a","387,8066","350,1136","False"
"151","2459b","946.8572","889.6021","False"
"152","4000a","507.5943","395.4924","False"
"153","8767b","110.9302","99.75306","True"
"155","7516a","175,2379","134,5923","False"
"156","9311b","768.4034","660.537","True"
"158","7762a","124.7379","115.4755","False"
"161","4723b","881,7802","754,1087","False"
"162","7764b","333,8983","233,1929","False"
"164","5875b","352,039","325,4793","False"
"165","1316b","1150,092","938,1005","True"
"166","4381b","295.9634","306.87","False"
